query,seed_topic
"""Upcoming meetings with John""",Meetings with a specific person
"""Calendar view by attendee: Jane Smith""",Meetings with a specific person
"""Show me all events with Michael""",Meetings with a specific person
What's my schedule today?,Events scheduled for today or tomorrow
Show me tomorrow's events,Events scheduled for today or tomorrow
Today's appointments,Events scheduled for today or tomorrow
Schedule for now,Events scheduled for today or tomorrow
Tomorrow's meetings,Events scheduled for today or tomorrow
My calendar today,Events scheduled for today or tomorrow
Upcoming events,Events scheduled for today or tomorrow
Today only,Events scheduled for today or tomorrow
Tomorrow's schedule,Events scheduled for today or tomorrow
Events in a minute,Events scheduled for today or tomorrow
Show me the schedule,Events scheduled for today or tomorrow
What am I doing today?,Events scheduled for today or tomorrow
Calendar view tomorrow,Events scheduled for today or tomorrow
Today's schedule,Events scheduled for today or tomorrow
Quick look at my day,Events scheduled for today or tomorrow
Schedule for tonight too,Events scheduled for today or tomorrow
Find out what's going on tomorrow,Events scheduled for today or tomorrow
My daily events,Events scheduled for today or tomorrow
Tomorrow morning events,Events scheduled for today or tomorrow
Event list for today,Events scheduled for today or tomorrow
Check the schedule now,Events scheduled for today or tomorrow
All tomorrow events,Events scheduled for today or tomorrow
Show me right away,Events scheduled for today or tomorrow
Events for next hour,Events scheduled for today or tomorrow
Today's appointments only,Events scheduled for today or tomorrow
Show me upcoming weekly standups,Recurring events like weekly standups or classes
What's my schedule like this week?,Recurring events like weekly standups or classes
Where is class on Friday?,Recurring events like weekly standups or classes
How many times does I have yoga this month?,Recurring events like weekly standups or classes
Show me all classes for next 2 weeks,Recurring events like weekly standups or classes
What time is my meeting today?,Recurring events like weekly standups or classes
Can I see only recurring events for the quarter?,Recurring events like weekly standups or classes
Is there a weekly team call tonight?,Recurring events like weekly standups or classes
How can I cancel my monthly coaching session?,Recurring events like weekly standups or classes
What's my schedule like after work every Monday?,Recurring events like weekly standups or classes
Show me all standups in the next 4 weeks,Recurring events like weekly standups or classes
What day is my birthday party again?,Recurring events like weekly standups or classes
When are we having the quarterly review?,Recurring events like weekly standups or classes
Can I see only recurring appointments for today?,Recurring events like weekly standups or classes
How many times does I have a doctor's appointment this week?,Recurring events like weekly standups or classes
Show me all meetings with John next month,Recurring events like weekly standups or classes
Is there a daily team meeting at 2pm?,Recurring events like weekly standups or classes
How can I add a new class to my schedule?,Recurring events like weekly standups or classes
What time is our monthly sync meeting?,Recurring events like weekly standups or classes
Can I see only recurring events for the current month?,Recurring events like weekly standups or classes
Where is class on Saturday?,Recurring events like weekly standups or classes
Show me all weekly standups for the next quarter,Recurring events like weekly standups or classes
When does our team's project deadline fall?,Recurring events like weekly standups or classes
How many times does I have a workout session this week?,Recurring events like weekly standups or classes
What time are we having lunch tomorrow?,Recurring events like weekly standups or classes
What's rescheduled from Feb 10?,Canceled or rescheduled events
Show me all canceled events,Canceled or rescheduled events
Find rescheduled events in March,Canceled or rescheduled events
Which event was canceled and rescheduled?,Canceled or rescheduled events
Rescheduled events this month,Canceled or rescheduled events
Cancelled events today,Canceled or rescheduled events
Reschedule Feb 15 to next week,Canceled or rescheduled events
Show me all past rescheduled events,Canceled or rescheduled events
Canceled events for tomorrow,Canceled or rescheduled events
What's the rescheduled date of my Feb 20 event?,Canceled or rescheduled events
List upcoming canceled events,Canceled or rescheduled events
Show me my rescheduled meetings,Canceled or rescheduled events
Which event was originally scheduled on Jan 1 and rescheduled?,Canceled or rescheduled events
Today's canceled events,Canceled or rescheduled events
Reschedule today's meeting to next week,Canceled or rescheduled events
Find all past canceled events,Canceled or rescheduled events
Is my Feb 5 event still on or rescheduled?,Canceled or rescheduled events
Cancelled events for next month,Canceled or rescheduled events
Reschedule Saturday's event to Monday instead,Canceled or rescheduled events
Show me my rescheduled appointments,Canceled or rescheduled events
What time was my original Feb 12 event rescheduled to?,Canceled or rescheduled events
List today's canceled and rescheduled events,Canceled or rescheduled events
Can you find the rescheduled date of my March 15 event?,Canceled or rescheduled events
Find all upcoming rescheduled events,Canceled or rescheduled events
Which event got rescheduled due to weather?,Canceled or rescheduled events
Show me upcoming Zoom meetings,Events with Zoom or Google Meet links
What are my Google Meet appointments today?,Events with Zoom or Google Meet links
Find all events with Google Meet links this week,Events with Zoom or Google Meet links
Upcoming calls to add to calendar,Events with Zoom or Google Meet links
Schedule a call in Google Meet,Events with Zoom or Google Meet links
Show only Zoom meetings for tomorrow,Events with Zoom or Google Meet links
List of Google Meet events this month,Events with Zoom or Google Meet links
Add a new meeting with Zoom link,Events with Zoom or Google Meet links
Google Meet schedule for next two weeks,Events with Zoom or Google Meet links
Zoom or Google Meet events at 2 PM today,Events with Zoom or Google Meet links
Cancel upcoming Google Meet meeting,Events with Zoom or Google Meet links
