query,label
Who sent me that email?,0
Emails from john,0
Sent to my dad,0
From my bank,0
Email from sarah,0
Recent emails from friends,0
Who's been emailing me lately,0
All emails from company email,0
Sarah's emails,0
Email address of customer service,0
What did my boss say about the project?,0
Emails with attachments,0
From my phone number,0
Emails with subject line meeting,0
What are new emails?,0
Send to my manager,0
Who is this email from,0
All sent by team lead,0
My colleagues' emails,0
New emails today,0
Email address of new supplier,0
Who emailed me last week,0
Emails with keywords marketing,0
Sent to my address,0
Recent emails,0
unread,0
read all emails,0
show me unsent emails,0
what's in my inbox?,0
unread stuff,0
unopened messages,0
show me everything,0
how many unread emails do i have?,0
filter by read status,0
only show me new emails,0
unopened mail,0
all unseen emails,0
unread and unopened,0
my inbox,0
what's new,0
unsent messages,0
check for unread emails,0
show me unread stuff,0
filter read emails,0
new emails only,0
how many emails are unread?,0
everything that needs to be seen,0
my unread messages,0
unseen emails today,0
show me the unread ones,0
"""Attachements today""",0
"""Show me emails with files""",0
"""E-mails with attachments this week""",0
star,0
important emails today,0
flagged inbox,0
starred messages,0
urgent emails,0
show me everything marked as important,0
what's new and starred,0
key emails flagged,0
can't miss emails,0
starred in last week,0
must see emails now,0
flag all unread,0
most starred messages,0
urgent & important,0
flagged by me today,0
starred from this morning,0
what's new and starred now,0
show me everything I've flagged,0
just starred emails,0
mark as read all flagged,0
today's starred ones,0
starred that need action,0
show me important emails only,0
starred messages by sender,0
filter to starred,0
what did i buy at target,0
emails from john smith,0
meeting notes april,0
what's the deadline again,0
receipts for march,0
update on project 123,0
bills to pay this month,0
confirm flight booking,0
reminder for tomorrow,0
company news 2023,0
emails with attachments,0
payment confirmation code,0
sales reports january,0
what's my password again,0
follow up email 2 weeks,0
meeting invite june,0
confirm travel dates,0
customer complaint form,0
budget report for q1,0
update on status,0
emails with attachments today,0
remind me of appointment,0
company policy document,0
what's the latest news,0
confirmation email template,0
what emails were sent yesterday,0
received between Jan 1 - Feb 28,0
all emails from this week,0
"emails with subject ""work meeting""",0
when did I get this email,0
sent to johndoe@email.com in last month,0
emails before Jan 15th,0
new emails since monday,0
all received emails on friday,0
how old are these emails,0
what time was my email sent,0
"emails with keywords ""travel""",0
emails from boss after hour,0
what day did I get this email,0
emails that have been read only once,0
all unread emails in the last 24 hours,0
when did john send me back an email,0
new emails from janesmith@email.com,0
emails before monday morning,0
how many emails were sent today,0
all emails with attachment,0
received emails in december,0
what time i got my first email of the day,0
emails that are unread and older than a week,0
when did I get this email last,0
replies,0
fwd all emails from jsmith,0
show me forwards,0
what's the conversation about thread,0
reply to and forward,0
show me emails that are responses to others,0
fwded emails only,0
emails replied to by me,0
"emails with ""re: """,0
show me replies from last week,0
replies from colleagues,0
what's been forwarded recently,0
emails marked as replies,0
search emails that have a reply,0
show all responses,0
fwded and replies,0
show me emails that are replies to others in the thread,0
only forward replies,0
email threads with replies,0
show me emails with a reply or forward,0
search for replies to specific sender,0
find forwarded emails,0
reply and forward emails,0
show all replied-to emails,0
"filter by ""replied to""",0
Long threads in my inbox,0
Threads with many responses,0
Show me all lengthy conversations,0
Re: long email discussions,0
Find threads over 20 replies,0
Conversations that never end,0
Longest emails in my thread,0
Reply-heavy emails only,0
Threads where people keep talking back,0
Show me threads with a lot of responses,0
Long email exchanges,0
Re: multi-response conversations,0
Emails with many follow-ups,0
Thread length > 10 replies,0
Show me all long discussions,0
Reply-heavy inbox,0
Conversations with many back-and-forth,0
Find longest emails by thread,0
Show me threads with a lot of activity,0
Re: email conversations that never end,0
Longest email chain,0
Emails with lots of replies,0
Thread length > 20 responses,0
Show me all lengthy conversations,0
Reply-heavy inbox only,0
find emails with links,0
urls in inbox,0
check for hyperlinks,0
link emails today,0
search for url attachments,0
view emails with web addresses,0
find links from specific sender,0
check emails sent w links,0
emails containing external sites,0
look for web site links,0
show me urls in inbox,0
email with website address,0
check incoming link emails,0
url in outbox,0
search by link content,0
find emails from sender w links,0
check emails sent via link,0
show me external link emails,0
find hyperlinks in my mailbox,0
check for online invites,0
invites,0
cal events,0
events from john,0
meeting invites,0
calendar events today,0
invite me to next week,0
events sent by jane,0
upcoming cal,0
remind me about the meeting,0
all events with subject event,0
invite list,0
events for this month,0
what's my schedule like,0
meeting reminders,0
calendar invites june,0
schedule for next week,0
events from friday,0
reminder: meeting tuesday,0
events this week,0
add to cal tonight,0
event invites sent by tom,0
upcoming meetings,0
what's my schedule today,0
send me a calendar invite,0
remind me about friday,0
"""Promo emails only""",0
"""Bulk sender""",0
"""Newsletters this week""",0
what's the largest email I've sent recently?,0
emails over 10mb,0
show me all small emails,0
which email is biggest,0
large attachments,0
find big emails,0
smallest emails,0
what's the largest file attached to an email?,0
emails over 50k,0
big emails in inbox,0
what size are my largest emails?,0
show me all small files sent,0
how big is my biggest email?,0
large attachments this week,0
find smallest emails,0
which email uses the most space?,0
emails under 1mb,0
show me large emails only,0
how to find large emails quickly,0
what are my largest attachments?,0
show me all small files attached,0
what's the smallest file I've sent?,0
emails over 100k,0
largest email size,0
find big emails with attachments,0
cc'd people,0
who's bcc'd on this?,0
sent to c.c.,0
emails with cc,0
find me all bcc,0
people copied in,0
c.c. recipients only,0
bcc list,0
email bcc search,0
see who's been cc'd,0
cc'd contacts,0
people listed as c.c.,0
bcc emails,0
show me all sent to,0
c.c. and bcc together,0
find emails with c.c.,0
cc list only,0
people in my email chain,0
all recipients of c.c.,0
emails with copies,0
see who got copied,0
bcc search emails,0
show me c.c. and bcc separately,0
people listed as c.c. or bcc,0
c.c. and bcc results,0
archived emails,0
show me archived ones,0
find my old emails,0
what's in archive,0
archived mailbox,0
get archived emails,0
archived folder,0
where are my archives,0
view archived messages,0
see all archived stuff,0
archived emails only,0
archived mail,0
what's archived today,0
my archived inbox,0
